
Harmonised long-term interest rates for convergence assessment purposes
Frequency: MONTHLY Data
Name:,IRS.M.BE.L.L40.CI.0000.EUR.N.Z,IRS.M.DE.L.L40.CI.0000.EUR.N.Z,IRS.M.IE.L.L40.CI.0000.EUR.N.Z,IRS.M.GR.L.L40.CI.0000.EUR.N.Z,IRS.M.ES.L.L40.CI.0000.EUR.N.Z,IRS.M.FR.L.L40.CI.0000.EUR.N.Z,IRS.M.IT.L.L40.CI.0000.EUR.N.Z,IRS.M.CY.L.L40.CI.0000.EUR.N.Z,IRS.M.LU.L.L40.CI.0000.EUR.N.Z,IRS.M.MT.L.L40.CI.0000.EUR.N.Z,IRS.M.NL.L.L40.CI.0000.EUR.N.Z,IRS.M.AT.L.L40.CI.0000.EUR.N.Z,IRS.M.PT.L.L40.CI.0000.EUR.N.Z,IRS.M.SI.L.L40.CI.0000.EUR.N.Z,IRS.M.SK.L.L40.CI.0000.EUR.N.Z,IRS.M.FI.L.L40.CI.0000.EUR.N.Z,IRS.M.BG.L.L40.CI.0000.BGN.N.Z,IRS.M.CZ.L.L40.CI.0000.CZK.N.Z,IRS.M.DK.L.L40.CI.0000.DKK.N.Z,IRS.M.LV.L.L40.CI.0000.LVL.N.Z,IRS.M.LT.L.L40.CI.0000.LTL.N.Z,IRS.M.HU.L.L40.CI.0000.HUF.N.Z,IRS.M.PL.L.L40.CI.0000.PLN.N.Z,IRS.M.RO.L.L40.CI.0000.RON.N.Z,IRS.M.SE.L.L40.CI.0000.SEK.N.Z,IRS.M.GB.L.L40.CI.0000.GBP.N.Z
APR-2006     ,3.96 ,3.89 ,  3.9 , 4.23 ,3.92 ,3.95 ,4.22 ,4.07 ,2.82 ,4.19 ,3.92 ,3.92 , 4.03 ,3.73 ,4.27 ,3.88 ,3.96 ,3.85 ,3.98 ,  3.6 , 3.92 ,    7 , 5.03 , 6.94 ,3.84 ,4.37
MAY-2006     ,4.03 ,3.96 , 3.96 ,  4.3 ,3.99 ,   4 ,4.29 ,4.07 ,3.08 ,4.24 ,3.96 ,4.03 , 4.07 ,3.73 , 4.5 ,3.94 ,4.34 ,3.93 ,4.02 ,  3.6 , 4.13 , 6.85 , 5.27 , 7.04 ,3.89 ,4.49
JUN-2006     ,4.02 ,3.96 , 3.98 , 4.31 ,3.99 ,4.01 , 4.3 ,4.03 ,3.38 ,4.27 ,3.97 ,4.03 ,  4.1 ,3.86 ,4.66 ,4.02 ,4.35 ,4.04 ,4.03 , 4.14 , 4.34 , 7.26 , 5.55 , 7.12 ,3.93 , 4.5
JUL-2006     ,4.04 ,4.01 ,    4 , 4.33 ,4.02 ,4.03 ,4.31 ,4.21 ,3.49 ,4.31 ,3.99 ,4.05 , 4.14 ,3.86 ,5.42 ,4.07 ,4.43 ,4.03 ,4.06 , 4.32 , 4.28 , 7.55 , 5.56 , 7.11 ,3.96 ,4.49
AUG-2006     ,3.92 ,3.88 , 3.88 , 4.19 ,3.89 , 3.9 ,4.17 ,4.28 ,3.58 ,4.34 , 3.9 ,3.92 , 4.06 ,3.92 ,5.13 ,3.94 ,4.66 ,3.87 ,3.93 , 4.36 , 4.28 , 7.49 , 5.62 , 7.41 ,3.84 ,4.49
SEP-2006     ,3.79 ,3.75 , 3.76 , 4.06 ,3.76 ,3.77 ,4.04 ,4.28 ,3.67 ,4.34 ,3.78 ,3.79 , 3.93 ,3.98 ,4.79 , 3.8 , 4.4 ,3.92 ,3.79 , 4.38 , 4.28 , 7.58 , 5.48 , 7.49 , 3.7 ,4.44
OCT-2006     ,3.83 ,3.79 , 3.78 , 4.08 ,3.81 ,3.81 ,4.07 ,4.26 ,3.67 ,4.34 ,3.82 ,3.83 , 3.98 ,4.02 ,4.42 ,3.84 ,4.26 ,3.92 ,3.88 , 4.55 , 4.28 , 7.47 ,  5.4 , 7.56 ,3.73 ,4.51
NOV-2006     ,3.76 ,3.71 , 3.72 , 3.98 ,3.75 ,3.74 ,3.97 ,4.26 ,3.72 ,4.34 ,3.75 ,3.76 , 3.89 ,3.99 ,4.25 ,3.75 ,4.38 ,3.87 ,3.78 , 4.95 , 4.28 , 7.01 ,  5.2 , 7.56 ,3.62 ,4.45
DEC-2006     ,3.82 ,3.77 , 3.76 , 4.04 ,3.82 ,3.81 ,4.04 ,4.26 ,3.77 ,4.33 ,3.81 ,3.81 , 3.96 , 3.9 ,4.15 ,3.82 ,4.18 ,3.77 ,3.78 ,  4.9 , 4.28 , 6.81 , 5.14 , 7.42 ,3.65 ,4.54
JAN-2007     ,4.06 ,4.02 , 4.04 , 4.28 ,4.07 ,4.07 ,4.26 ,4.36 ,3.83 ,4.34 ,4.05 ,4.06 , 4.18 ,4.23 ,4.25 ,4.05 ,4.27 ,3.94 ,   4 , 4.92 , 4.28 , 6.96 , 5.17 , 7.39 , 3.9 ,4.94
FEB-2007     ,4.11 ,4.05 , 4.07 ,  4.3 , 4.1 , 4.1 ,4.28 ,4.42 ,3.91 ,4.38 ,4.07 ,4.09 , 4.19 ,4.34 ,4.28 ,4.08 ,4.24 ,3.89 ,4.05 , 5.07 , 4.28 , 6.96 , 5.19 , 7.52 ,3.93 ,4.97
MAR-2007     ,4.01 ,3.94 , 3.97 ,  4.2 ,4.01 ,   4 ,4.18 ,4.47 ,4.02 ,4.38 ,3.98 ,3.99 ,  4.1 ,4.34 ,4.24 ,3.98 ,4.22 ,3.87 ,3.96 , 5.14 , 4.24 , 6.79 , 5.19 , 7.53 ,3.79 ,4.88
APR-2007     ,4.22 ,4.15 , 4.19 ,  4.4 ,4.21 ,4.21 ,4.37 ,4.44 ,4.26 ,4.44 ,4.19 ,4.21 ,  4.3 ,4.41 ,4.26 , 4.2 ,4.28 ,4.01 ,4.18 , 5.52 , 4.18 , 6.65 , 5.28 , 7.39 ,4.04 ,5.11
MAY-2007     ,4.34 ,4.28 , 4.32 , 4.51 ,4.34 ,4.34 ,4.49 ,4.44 ,4.63 ,4.61 ,4.32 ,4.33 , 4.44 ,4.49 , 4.4 ,4.33 ,4.26 ,4.13 ,4.34 , 6.03 , 4.36 , 6.53 , 5.29 , 7.39 ,4.15 , 5.2
JUN-2007     ,4.64 ,4.56 , 4.62 ,  4.8 ,4.62 ,4.62 ,4.77 ,4.44 ,4.85 ,5.12 ,4.61 ,4.63 , 4.75 ,4.79 ,4.66 ,4.62 ,4.57 ,4.47 ,4.65 , 5.62 , 4.57 , 6.71 , 5.52 , 6.99 ,4.44 ,5.49
JUL-2007     ,4.62 , 4.5 , 4.59 , 4.79 , 4.6 ,4.58 ,4.76 ,4.44 ,4.84 ,5.18 ,4.57 ,4.59 , 4.73 ,4.72 , 4.7 ,4.59 ,4.79 ,4.54 ,4.58 , 5.28 , 4.89 , 6.58 ,  5.6 , 6.83 ,4.45 ,5.46
AUG-2007     ,4.44 , 4.3 ,  4.4 , 4.62 , 4.4 ,4.39 ,4.58 ,4.44 ,4.68 ,4.94 ,4.38 ,4.38 , 4.56 ,4.82 ,4.65 ,4.39 ,4.79 ,4.45 ,4.39 , 5.32 ,  4.8 ,  6.8 , 5.68 , 6.87 ,4.25 ,5.19
SEP-2007     ,4.39 ,4.22 , 4.32 , 4.56 ,4.36 ,4.36 ,4.57 ,4.45 ,4.64 ,4.85 ,4.34 ,4.33 ,  4.5 ,4.69 ,4.61 ,4.34 ,4.44 ,4.57 ,4.36 , 5.21 , 4.72 , 6.67 , 5.69 , 6.84 ,4.22 ,5.05
OCT-2007     ,4.42 ,4.28 , 4.39 , 4.58 ,4.38 , 4.4 ,4.59 , 4.6 ,4.63 ,4.92 ,4.38 , 4.4 , 4.52 ,4.59 ,4.64 ,4.38 ,4.59 ,4.53 ,4.39 , 5.06 , 4.72 , 6.61 , 5.64 , 6.85 ,4.31 ,   5
NOV-2007     ,4.28 ,4.09 , 4.31 , 4.43 ,4.25 ,4.23 ,4.45 , 4.6 ,4.56 ,4.72 ,4.21 ,4.21 , 4.36 , 4.4 ,4.59 ,4.22 ,4.94 ,4.55 ,4.21 , 5.12 , 4.57 , 6.74 ,  5.7 , 6.96 ,4.22 ,4.74
DEC-2007     ,4.41 ,4.21 , 4.45 , 4.53 ,4.35 ,4.35 ,4.54 , 4.6 ,4.68 ,4.81 ,4.34 ,4.35 , 4.47 ,4.55 ,4.61 ,4.34 ,5.08 ,4.68 ,4.33 ,  5.1 , 4.94 , 6.93 , 5.86 , 7.05 ,4.31 , 4.7
JAN-2008     ,4.25 ,4.03 , 4.25 ,  4.4 ,4.18 ,4.15 , 4.4 , 4.6 ,4.47 ,4.63 ,4.13 ,4.22 , 4.31 ,4.39 ,4.48 ,4.14 ,5.07 ,4.56 ,4.15 , 5.71 , 4.73 , 7.11 , 5.81 , 7.15 ,4.09 ,4.26
FEB-2008     ,4.23 ,3.95 , 4.21 , 4.36 ,4.15 ,4.08 ,4.35 , 4.6 ,4.42 , 4.6 ,4.05 ,4.18 , 4.27 ,4.32 ,4.36 ,4.06 ,5.24 ,4.53 ,4.08 , 5.11 , 4.51 , 7.58 , 5.82 , 7.29 ,4.02 ,4.45
MAR-2008     ,4.23 , 3.8 , 4.17 , 4.42 ,4.12 ,4.02 ,4.38 , 4.6 ,4.37 ,4.49 ,3.97 ,4.14 , 4.36 ,4.33 ,4.34 ,   4 ,4.85 ,4.68 ,4.04 , 5.25 , 4.36 , 8.41 , 5.99 , 7.34 ,3.92 ,4.42
APR-2008     ,4.37 ,4.04 , 4.44 , 4.54 ,4.32 ,4.27 ,4.53 , 4.6 ,4.55 ,4.77 ,4.21 ,4.34 , 4.52 ,4.47 ,4.46 ,4.22 , 4.8 ,4.72 ,4.29 , 5.93 , 4.59 , 8.02 , 5.99 , 7.35 ,4.06 ,4.62
MAY-2008     ,4.51 , 4.2 , 4.58 , 4.74 ,4.43 ,4.41 , 4.7 , 4.6 ,4.67 ,4.91 ,4.35 ,4.48 ,  4.6 ,4.61 ,4.52 ,4.47 ,4.95 ,4.84 ,4.42 , 5.93 ,  4.8 , 8.08 ,  6.1 , 7.26 ,4.18 ,4.84
JUN-2008     ,4.84 ,4.52 , 4.91 , 5.17 ,4.79 ,4.73 ,5.11 , 4.6 ,4.98 ,5.26 ,4.73 , 4.8 , 4.96 ,4.95 ,4.94 ,4.78 ,5.17 ,5.13 ,4.82 , 6.25 , 5.33 ,  8.5 , 6.42 , 7.15 ,4.43 ,5.16
JUL-2008     ,4.85 ,4.49 , 4.92 , 5.15 , 4.8 ,4.69 , 5.1 , 4.6 ,5.01 ,5.28 ,4.69 ,4.78 , 4.95 ,5.02 ,5.06 ,4.77 ,5.17 , 4.9 ,4.78 , 6.57 , 5.49 , 8.11 , 6.45 , 7.28 ,4.37 ,   5
AUG-2008     ,4.58 , 4.2 , 4.59 , 4.87 ,4.56 , 4.4 ,4.81 , 4.6 ,4.78 ,5.12 , 4.4 ,4.48 , 4.69 ,4.68 ,4.95 ,4.47 ,5.17 ,4.47 ,4.49 ,  6.6 , 5.47 , 7.77 , 6.11 ,  8.2 ,4.11 ,4.68
SEP-2008     ,4.56 ,4.09 , 4.56 , 4.88 ,4.57 ,4.36 , 4.8 , 4.6 ,4.84 ,5.04 ,4.35 ,4.46 , 4.66 ,4.68 ,4.98 ,4.43 ,5.17 ,4.42 ,4.37 ,  6.6 , 5.45 , 7.99 , 5.89 , 8.32 , 3.9 ,4.57
OCT-2008     ,4.46 ,3.88 , 4.55 , 4.93 ,4.47 ,4.18 ,4.78 , 4.6 ,4.68 ,4.81 ,4.23 ,4.33 , 4.56 ,4.66 ,4.95 ,4.33 ,5.17 ,4.53 ,4.43 ,  6.6 ,  5.4 , 9.57 , 6.35 , 8.27 ,3.57 ,4.52
NOV-2008     ,4.26 ,3.56 , 4.56 , 5.09 ,4.15 ,3.98 ,4.74 , 4.6 ,4.35 ,4.61 ,3.96 ,4.19 , 4.35 ,4.61 ,4.92 ,4.09 ,   6 ,4.52 ,4.06 ,  7.6 , 8.16 , 9.41 , 6.23 , 8.38 ,3.34 ,4.13
DEC-2008     ,3.87 ,3.05 , 4.57 , 5.08 ,3.86 ,3.54 ,4.47 , 4.6 ,4.17 ,4.17 ,3.65 , 3.9 ,    4 ,4.56 ,4.72 ,3.72 ,7.76 , 4.3 , 3.5 , 9.03 ,    9 , 8.31 ,  5.7 , 8.38 ,2.67 ,3.36
JAN-2009     ,4.13 ,3.07 ,  5.2 ,  5.6 ,4.15 , 3.6 ,4.62 , 4.6 ,4.18 ,4.35 ,3.76 ,   4 , 4.32 , 4.7 ,4.69 ,3.87 ,7.14 ,4.21 ,3.44 ,10.64 ,13.95 , 8.76 , 5.46 , 9.23 , 2.8 ,3.17
FEB-2009     ,4.24 ,3.13 , 5.65 ,  5.7 ,4.23 ,3.68 ,4.54 , 4.6 ,4.33 ,4.53 , 3.8 ,4.21 , 4.52 ,4.87 ,4.76 ,3.93 ,7.09 ,4.74 ,3.55 , 11.5 , 14.5 ,10.65 , 5.97 , 8.42 ,2.93 ,3.23
MAR-2009     ,4.03 ,3.02 , 5.76 , 5.87 ,4.06 ,3.65 ,4.46 , 4.6 , 4.3 ,4.58 ,3.66 ,4.16 , 4.68 ,4.71 ,4.71 ,3.81 ,7.73 ,5.16 ,3.44 ,11.32 , 14.5 ,11.65 , 6.22 , 9.38 ,2.94 ,   3
APR-2009     ,3.93 ,3.13 , 5.34 ,  5.5 ,4.01 ,3.66 ,4.36 , 4.6 ,4.54 ,4.63 ,3.77 ,4.04 , 4.53 ,4.77 ,4.93 ,3.78 ,7.24 ,5.25 , 3.5 ,11.15 , 14.5 ,10.63 , 6.19 , 9.77 ,3.18 ,3.16
MAY-2009     ,4.03 ,3.37 , 5.27 , 5.22 ,4.06 , 3.8 ,4.42 , 4.6 ,4.59 ,4.71 ,3.85 , 4.1 , 4.29 ,4.76 ,5.03 ,3.91 ,7.08 ,5.06 ,3.62 ,11.09 , 14.5 ,10.01 , 6.31 , 8.32 ,3.57 ,3.41
JUN-2009     ,4.12 ,3.47 , 5.73 , 5.33 ,4.25 , 3.9 ,4.61 , 4.6 ,4.74 ,4.79 ,3.96 ,4.32 ,  4.5 ,4.69 ,5.08 ,3.98 , 7.3 ,5.45 ,3.76 ,12.75 , 14.5 ,10.15 , 6.34 ,11.26 ,3.62 ,3.52
JUL-2009     ,3.92 ,3.34 , 5.45 , 4.89 ,4.01 ,3.73 ,4.37 , 4.6 ,4.46 ,4.61 ,3.76 ,4.04 , 4.25 ,4.33 ,5.04 ,3.77 ,7.56 ,5.41 ,3.74 ,12.75 , 14.5 , 8.81 , 6.19 ,11.46 ,3.37 ,3.55
AUG-2009     ,3.77 ,3.31 , 4.92 , 4.52 ,3.79 ,3.59 ,4.12 , 4.6 ,4.15 ,4.51 ,3.61 ,3.76 , 3.95 ,4.07 , 4.9 ,3.63 ,7.77 ,5.09 , 3.6 ,12.81 , 14.5 ,  8.4 , 6.08 ,11.46 ,3.45 ,3.45
SEP-2009     ,3.72 ,3.26 , 4.91 , 4.56 ,3.81 ,3.59 ,4.09 , 4.6 ,3.94 ,4.49 ,3.58 ,3.75 , 3.94 ,3.96 ,4.65 ,3.62 ,7.45 ,5.01 ,3.65 ,13.27 , 14.5 , 7.91 , 6.17 ,   11 ,3.38 ,3.42
OCT-2009     ,3.68 ,3.21 , 4.77 , 4.57 ,3.78 ,3.56 , 4.1 , 4.6 ,3.85 ,4.44 ,3.53 ,3.65 , 3.85 ,3.86 ,4.33 ,3.57 ,7.08 , 4.5 , 3.6 ,13.51 , 14.5 , 7.45 , 6.15 , 9.13 ,3.25 ,3.34
NOV-2009     ,3.64 ,3.22 , 4.82 , 4.84 ,3.79 ,3.56 ,4.06 , 4.6 ,3.87 ,4.45 ,3.52 , 3.6 ,  3.8 ,3.87 ,4.23 ,3.53 ,6.53 ,4.19 ,3.62 ,13.75 , 14.5 , 7.37 , 6.14 , 8.24 ,3.27 ,3.46
DEC-2009     ,3.61 ,3.14 , 4.88 , 5.49 ,3.81 ,3.48 ,4.01 , 4.6 , 3.8 ,4.41 ,3.44 ,3.61 , 3.91 ,3.91 ,4.12 ,3.46 ,6.61 ,3.98 ,3.53 ,13.75 ,  9.1 , 7.69 , 6.22 , 8.66 ,3.24 , 3.6
JAN-2010     ,3.75 ,3.26 , 4.83 , 6.02 ,3.99 ,3.52 ,4.08 , 4.6 ,3.76 , 4.5 ,3.47 ,3.75 , 4.17 ,   4 ,4.11 ,3.49 ,6.65 ,4.28 ,3.57 ,13.76 , 8.15 , 7.62 , 6.13 , 9.05 ,3.37 ,4.01
FEB-2010     ,3.73 ,3.17 , 4.73 , 6.46 ,3.98 , 3.5 ,4.05 , 4.6 ,3.69 ,4.49 ,3.36 ,3.66 , 4.56 ,3.84 ,4.08 ,3.38 ,6.05 ,4.33 , 3.5 ,13.62 , 7.15 , 7.69 , 6.09 , 7.92 ,3.28 ,4.02
MAR-2010     ,3.63 , 3.1 , 4.53 , 6.24 ,3.83 ,3.44 ,3.95 , 4.6 , 3.6 ,4.33 ,3.37 ,3.53 , 4.31 ,3.94 ,4.01 ,3.26 ,5.82 ,4.02 , 3.4 ,10.54 , 5.15 , 7.16 , 5.72 , 7.11 , 3.2 ,3.98
APR-2010     ,3.54 ,3.06 , 4.76 , 7.83 , 3.9 , 3.4 ,   4 , 4.6 ,3.51 ,4.18 ,3.32 ,3.46 , 4.78 ,3.94 ,3.93 ,3.36 ,5.94 ,3.84 ,3.34 ,10.13 , 5.15 , 6.57 , 5.57 , 6.97 ,3.14 ,3.96
MAY-2010     ,3.31 ,2.73 , 4.86 , 7.97 ,4.08 ,3.08 ,3.99 , 4.6 ,3.17 ,4.14 ,3.02 ,3.21 , 5.02 ,3.82 ,3.82 ,3.03 ,6.13 , 4.1 ,2.93 ,10.13 , 5.15 , 7.07 , 5.72 , 7.27 ,2.73 , 3.6
JUN-2010     ,3.47 ,2.54 , 5.31 ,  9.1 ,4.56 ,3.07 , 4.1 , 4.6 ,3.01 ,4.13 , 2.9 , 3.2 , 5.54 ,3.83 ,3.73 ,2.92 ,6.21 ,4.26 , 2.7 ,10.12 , 5.15 ,  7.6 , 5.87 ,  7.1 ,2.61 ,3.14
JUL-2010     ,3.29 ,2.62 , 5.32 ,10.34 ,4.43 ,2.99 ,4.03 , 4.6 ,2.98 ,4.13 ,2.85 ,3.07 , 5.49 ,3.87 ,3.93 ,2.85 ,6.05 ,3.97 ,2.72 ,   10 , 5.15 , 7.39 , 5.84 , 7.18 , 2.7 ,2.97
AUG-2010     ,3.03 ,2.35 ,  5.3 , 10.7 ,4.04 ,2.68 , 3.8 , 4.6 ,2.65 ,4.01 ,2.56 ,2.77 , 5.31 ,3.67 ,3.73 ,2.62 ,5.99 ,3.56 ,2.45 ,   10 , 5.15 , 7.07 , 5.62 , 7.15 ,2.45 ,2.68
SEP-2010     ,3.12 , 2.3 , 6.14 ,11.34 ,4.09 ,2.68 ,3.86 , 4.6 ,2.67 , 3.9 ,2.52 , 2.8 , 6.08 ,3.64 ,3.59 ,2.58 , 5.9 ,3.34 , 2.4 , 9.97 , 5.15 , 7.04 , 5.49 , 7.14 ,2.53 ,2.84
OCT-2010     ,3.21 ,2.35 , 6.42 , 9.57 ,4.04 ,2.72 , 3.8 , 4.6 ,2.73 , 3.9 ,2.58 ,2.82 , 6.05 ,3.56 ,3.67 ,2.63 ,5.82 ,3.43 ,2.46 , 9.24 , 5.15 , 6.87 , 5.53 , 7.02 ,2.64 , 2.8
NOV-2010     ,3.48 ,2.53 , 8.22 ,11.52 ,4.69 ,   3 ,4.18 , 4.6 ,2.94 ,4.12 ,2.79 ,3.01 , 6.91 ,3.77 , 3.8 ,2.82 ,5.74 ,3.59 ,2.65 , 8.99 , 5.15 , 7.38 , 5.82 , 7.04 ,2.86 ,3.03
DEC-2010     ,3.99 ,2.91 , 8.45 ,12.01 ,5.38 ,3.34 , 4.6 , 4.6 ,3.32 ,4.42 ,3.16 ,3.43 , 6.53 ,4.11 ,4.06 ,3.19 ,5.76 ,3.89 ,3.01 , 7.55 , 5.15 , 7.92 , 5.98 , 7.09 ,3.21 ,3.34
JAN-2011     ,4.14 ,3.02 , 8.75 ,11.73 ,5.38 ,3.44 ,4.73 , 4.6 , 3.3 ,4.51 ,3.23 ,3.54 , 6.95 ,4.29 ,4.16 ,3.27 ,5.56 ,3.98 ,3.05 , 5.38 , 5.15 ,  7.7 , 6.26 , 6.66 ,3.28 ,3.61
FEB-2011     ,4.21 , 3.2 ,  9.1 , 11.4 ,5.26 , 3.6 ,4.74 , 4.6 ,3.45 , 4.6 ,3.41 ,3.68 , 7.34 ,4.26 ,4.24 ,3.41 ,5.48 ,4.05 ,3.23 , 6.17 , 5.15 , 7.39 , 6.26 , 7.03 ,3.41 ,3.77
MAR-2011     ,4.21 ,3.21 , 9.67 ,12.44 ,5.25 ,3.61 ,4.88 , 4.6 ,3.47 ,4.68 ,3.42 ,3.68 ,  7.8 , 4.3 ,4.32 ,3.45 ,5.38 ,4.05 ,3.29 , 6.49 , 5.15 , 7.29 , 6.27 , 7.31 ,3.35 ,3.54
APR-2011     ,4.29 ,3.34 , 9.79 ,13.86 ,5.33 ,3.69 ,4.84 , 4.6 ,3.58 ,4.73 ,3.65 ,3.76 , 9.19 ,4.53 ,4.33 ,3.57 ,5.33 ,4.05 ,3.42 , 6.47 , 5.12 , 7.05 , 6.14 ,  7.3 , 3.3 ,3.56
MAY-2011     ,4.21 ,3.06 ,10.64 ,15.94 ,5.32 ,3.49 ,4.76 , 4.6 ,3.29 ,4.63 , 3.4 ,3.53 , 9.63 ,4.43 ,4.33 ,3.32 ,5.39 ,3.89 ,3.13 , 6.36 , 5.05 , 7.11 , 6.06 , 7.26 ,3.01 ,3.26
JUN-2011     ,4.14 ,2.89 ,11.43 ,16.69 ,5.48 ,3.43 ,4.82 ,5.78 ,3.15 ,4.63 ,3.28 ,3.43 ,10.87 ,4.58 ,4.39 ,3.29 ,5.39 ,3.77 ,2.96 , 5.87 , 5.05 , 7.22 , 5.88 , 7.42 ,2.89 ,3.12
JUL-2011     ,4.22 ,2.74 ,12.45 ,16.15 ,5.83 , 3.4 ,5.46 ,6.25 ,3.03 ,4.59 ,3.17 ,3.35 ,12.15 ,4.89 ,4.55 ,3.16 ,5.36 ,3.79 ,3.02 , 5.67 , 5.05 , 7.35 , 5.81 , 7.41 ,2.75 ,2.98
AUG-2011     ,4.11 ,2.21 , 9.57 , 15.9 ,5.25 ,2.98 ,5.27 ,6.42 ,2.59 ,4.32 ,2.68 ,2.84 ,10.93 ,4.99 ,4.55 ,2.68 ,5.32 , 3.4 ,2.49 ,  5.6 , 5.05 , 7.49 ,  5.7 ,  7.3 ,2.17 , 2.4
SEP-2011     ,3.88 ,1.83 , 8.51 ,17.78 , 5.2 ,2.64 ,5.75 ,   7 ,2.27 ,4.14 ,2.34 ,2.64 ,11.34 ,4.86 ,4.25 ,2.35 , 5.3 ,   3 ,2.07 ,  5.6 , 5.09 , 7.64 , 5.74 , 7.28 ,1.83 ,2.18
OCT-2011     , 4.2 ,   2 ,  8.1 ,18.04 ,5.26 ,2.99 ,5.97 ,   7 ,2.37 ,4.26 ,2.46 ,2.92 ,11.72 ,5.16 ,4.33 ,2.51 ,5.27 ,3.14 ,2.23 , 5.62 , 5.06 , 7.88 , 5.71 , 7.72 , 1.9 ,2.24
NOV-2011     ,4.84 ,1.87 , 8.51 ,17.92 , 6.2 ,3.41 ,7.06 ,   7 ,2.31 ,4.35 ,2.45 ,3.36 ,11.89 ,6.46 ,4.71 ,2.54 ,5.27 ,3.67 ,2.01 , 5.73 , 5.25 , 8.53 ,  5.8 , 7.43 ,1.69 ,1.96
DEC-2011     ,4.35 ,1.93 ,  8.7 ,21.14 ,5.53 ,3.16 ,6.81 ,   7 ,2.27 ,4.43 ,2.38 , 3.1 ,13.08 , 6.9 ,5.21 ,2.52 ,5.23 , 3.7 ,1.86 , 5.93 , 5.75 , 8.97 , 5.84 , 7.39 ,1.68 ,1.81
JAN-2012     ,4.11 ,1.82 , 7.71 ,25.91 ,5.41 ,3.18 ,6.54 ,   7 ,2.07 , 4.3 , 2.2 ,3.27 ,13.85 ,6.74 ,5.22 ,2.28 , 5.3 ,3.39 ,1.74 , 5.74 , 5.35 , 9.51 , 5.68 , 7.02 , 1.7 ,2.04
FEB-2012     , 3.7 ,1.85 , 7.02 ,29.24 ,5.11 ,3.02 ,5.55 ,   7 ,2.03 ,4.17 ,2.24 ,   3 ,12.81 ,5.73 ,4.98 ,2.34 ,5.31 ,3.12 ,1.84 , 5.45 , 5.15 ,  8.6 , 5.46 , 6.99 ,1.89 ,2.13
MAR-2012     ,3.53 ,1.83 ,  6.9 ,19.07 ,5.17 ,2.95 ,5.05 ,   7 ,2.22 ,4.31 ,2.25 ,2.87 ,13.01 ,5.08 ,4.91 ,2.31 ,5.07 ,3.51 ,1.89 , 5.15 , 5.29 , 8.73 , 5.37 , 6.48 ,1.95 ,2.17
APR-2012     ,3.52 ,1.62 , 6.88 ,21.48 ,5.79 ,2.99 ,5.68 ,   7 ,2.22 ,4.26 ,2.29 ,2.83 ,12.01 ,5.27 ,4.81 ,2.15 ,5.11 ,3.51 ,1.71 ,  5.1 ,  5.3 , 8.77 , 5.49 , 6.24 ,1.82 ,2.03
MAY-2012     , 3.3 ,1.34 , 7.12 , 26.9 ,6.13 ,2.75 ,5.78 ,   7 ,1.92 ,4.19 ,1.96 ,2.49 ,11.59 ,5.28 , 4.8 ,1.82 ,5.11 ,3.31 ,1.37 , 5.15 ,  5.3 , 8.33 , 5.41 ,  6.5 ,1.51 ,1.78
JUN-2012     ,3.17 , 1.3 , 7.09 ,27.82 ,6.59 ,2.57 , 5.9 ,   7 ,1.82 ,4.27 ,1.93 ,2.29 ,10.56 ,5.63 , 4.8 ,1.76 ,5.07 ,3.11 ,1.26 , 5.07 , 4.96 ,  8.3 , 5.24 , 6.68 ,1.45 , 1.6
JUL-2012     ,2.69 ,1.24 , 6.12 ,25.82 ,6.79 ,2.28 ,   6 ,   7 , 1.7 ,4.15 ,1.75 ,2.07 ,10.49 ,6.34 ,4.41 ,1.55 ,4.87 , 2.6 , 1.1 , 4.67 , 4.82 , 7.56 , 4.99 , 6.52 ,1.33 ,1.47
AUG-2012     ,2.54 ,1.34 , 5.91 ,24.34 ,6.58 ,2.12 ,5.82 ,   7 ,1.66 ,4.04 ,1.76 ,1.97 , 9.89 ,6.81 ,4.24 ,1.55 ,4.28 ,2.38 ,1.15 , 4.45 , 4.84 , 7.36 , 4.88 , 6.84 ,1.44 ,1.49
SEP-2012     ,2.61 ,1.49 , 5.28 ,20.91 ,5.91 ,2.24 ,5.25 ,   7 ,1.65 ,   4 ,1.84 ,2.04 , 8.62 ,6.32 , 4.2 ,1.82 , 3.8 ,2.41 ,1.31 , 3.92 , 4.53 , 7.28 , 4.85 , 6.54 ,1.51 ,1.53
OCT-2012     ,2.44 ,1.47 , 4.77 ,17.96 ,5.64 ,2.19 ,4.95 ,   7 ,1.62 ,3.99 ,1.77 ,2.02 , 8.17 ,5.74 , 4.2 ,1.78 ,3.39 ,2.24 ,1.29 , 3.52 , 4.32 , 6.94 , 4.57 , 6.85 ,1.54 ,1.54
NOV-2012     ,2.29 ,1.34 , 4.59 , 17.2 ,5.69 ,2.14 ,4.85 ,   7 ,1.52 ,3.95 ,1.65 ,1.85 , 8.32 ,5.43 ,4.14 ,1.67 ,3.22 ,1.92 ,1.11 , 3.32 , 4.11 , 6.87 , 4.18 , 6.84 ,1.46 ,1.55



